Topic,ID,Segment,IdeaUnit,label
ComputerScience,6260226,1,Declarative knowledge is a factual statement.,1
ComputerScience,6260226,1,Imperative knowledge is solving a problem or accomplishing a task.,1
ComputerScience,6260226,1,Algorithms are instructions with steps to complete in a specific order.,1
ComputerScience,6260226,1,"Algorithms outline a beginning, middle, and end.",0
ComputerScience,6260226,1,Algorithms can contain a loop instruction that tells the program to repeat.,1
ComputerScience,6260226,1,Proper termination instructions are crucial in algorithms to prevent infinite loops.,1
ComputerScience,6260226,1,One of the first computers was designed at Iowa State University in 1937 by Atanasoff and Berry.,0
ComputerScience,6260226,1,"Early computers were called fixed program computers, designed for specific problems.",0
ComputerScience,6260226,1,The Atanasoff and Berry Computer (ABC) was made to help drop bombs in World War II.,0
ComputerScience,6260226,1,Alan Turing's machines were built for the Allies to decode German military messages during World War II.,0
ComputerScience,6260226,1,Early computers operated by executing a set of algorithms while separately receiving operator input.,0
ComputerScience,6260226,1,"Fixed program computers were limited in functionality, only capable of performing predefined tasks.",0
ComputerScience,6260226,1,The invention of stored program computers marked a significant technological breakthrough.,0
ComputerScience,6260226,2,"In stored program computers, algorithm and data applications are the same program.",1
ComputerScience,6260226,2,Programs can produce other programs.,1
ComputerScience,6260226,2,"Stored program computers consist of three main parts: the control unit, memory, and the arithmetic logic unit (ALU).",1
ComputerScience,6260226,2,"Stored program computers also have input and output devices, parts we regularly interact with.",1
ComputerScience,6260226,2,"Keyboards, mice, and screens are all examples of input and output devices.",1
ComputerScience,6260226,2,A computer?s memory stores all the information it receives.,1
ComputerScience,6260226,2,"Computers have one kind of memory, not separate systems.",1
ComputerScience,6260226,2,The control unit tells the computer what to do.,1
ComputerScience,6260226,2,The arithmetic logic unit (ALU is a fundamental part of modern computers and acts as the computer?s brain.,1
ComputerScience,6260226,2,Modern ALUs have billions of transistors.,0
ComputerScience,6260226,2,Transistors in the ALU can be seen as equivalent to light bulbs.,1
ComputerScience,6260226,2,Computers using the binary system interpret 0 as off and 1 as on.,1
ComputerScience,6260226,2,Modern computers can turn these ?lightbulbs? on and off billions of times every second.,0
ComputerScience,6260226,2,Complex operations are possible due to the large number of quick switches transistors can make.,0
ComputerScience,6260226,2,The binary system allows computers to process large amounts of data and execute algorithms efficiently.,0
ComputerScience,6260226,3,Commands are built-in instructions for computer programs.,0
ComputerScience,6260226,3,Built-in instructions for the same type of data differ among programming languages.,1
ComputerScience,6260226,3,"In Python, the command ?S-T-R? means ?string,? representing characters and letters.",1
ComputerScience,6260226,3,"Syntax, static semantics, and semantics define a programming language.",1
ComputerScience,6260226,3,Syntax tells us the sequence of characters and symbols allowed in the programming language?s rules.,1
ComputerScience,6260226,3,Syntax in computer programming is like syntax in human languages.,0
ComputerScience,6260226,3,"Syntax does not care if something has meaning, only that it fits the programming language?s rules.",0
ComputerScience,6260226,3,Static semantics refer to how meaningful and well-formed a code is.,1
ComputerScience,6260226,3,"Programming languages, unlike human languages, have only one meaning.",0
ComputerScience,6260226,3,A bug is an error in the code that goes against the intention of the coder.,0
ComputerScience,6260226,3,"Errors can cause the program to quit, resulting in a crash.",0
ComputerScience,6260226,3,"Errors can also cause the program to become unresponsive, resulting in a freeze.",0
ComputerScience,6260226,3,Crashing and freezing have different underlying causes.,0
ComputerScience,6260226,3,"Incompatibility, when a program expects one input but gets another, can cause a crash.",1
ComputerScience,6260226,3,"When a program gets stuck in an infinite loop and cannot complete a job, it can cause a freeze.",1
ComputerScience,6260226,4,"If a program crashes or freezes, you know that something went wrong immediately.",0
ComputerScience,6260226,4,The most challenging type of error is when a program runs to completion but produces the wrong output.,1
ComputerScience,6260226,4,"Python is an interpreted language, making debugging easy.",1
ComputerScience,6260226,4,Interpreted languages can describe what went wrong using the language of the source code.,1
ComputerScience,6260226,4,Compiled language programs will give you an unintelligible error message in the machine code,0
ComputerScience,6260226,4,"In almost all programming languages, you will first see the integrated development environment (IDE) which Python calls the IDLE.",1
ComputerScience,6260226,4,"IDLE is named after Eric Idle from Monty Python, who also who inspired the name Python.",0
ComputerScience,6260226,4,"The IDLE has highlighting, auto-completion, and smart indenting to help see and write your code.",0
ComputerScience,6260226,4,The shell in the IDLE is where Python runs the code.,0
ComputerScience,6260226,4,You can write and run code in the text editor to have many lines of code executed together.,0
ComputerScience,6260226,4,Everything is an object in Python with many categories that tell you what kind of object it is and what it can do.,0
ComputerScience,6260226,4,There are two types of numbers in programming: integers and floating point.,0
ComputerScience,6260226,4,Integers deal with whole numbers and are notated ?I-N-T? in Python.,1
ComputerScience,6260226,4,Floating point deals with decimals and is notated ?F-L-O-A-T? in Python.,0
Ecology,6260215,1,The word ?toucan? comes from the Tupi Natives from Brazil,0
Ecology,6260215,1,The toucan is a member of the Ramphastidae bird family,0
Ecology,6260215,1,Toucans are mostly found in South America,1
Ecology,6260215,1,The largest toucan species is the toco toucan,1
Ecology,6260215,1,The average lifespan of a toucan in captivity is 18 years,1
Ecology,6260215,1,Toucans do not migrate because of their beak size,1
Ecology,6260215,1,The anatomy of a toucan helps them stand on trees for long periods of time,1
Ecology,6260215,1,Toucans rely on natural tree hollows or woodpeckers to make tree holes for their babies,1
Ecology,6260215,1,"Due to their unique anatomy, up to 6 toucans can fit inside one tree hole",1
Ecology,6260215,1,Both toucan parents take care of their babies,0
Ecology,6260215,1,Baby toucans (toucanets) hatch blind and naked,1
Ecology,6260215,1,"Unlike most mother birds, toucans leave the nest together once toucanets can fly",1
Ecology,6260215,1,Female toucans can lay up to 21 eggs,0
Ecology,6260215,1,Mother and father toucans will take turns sitting on their eggs until they hatch,1
Ecology,6260215,2,"The color of toucans comes from their skin, not their feathers",1
Ecology,6260215,2,"Toucans are covered in feathers except around their feet, bill, and eyes",1
Ecology,6260215,2,Toucans use their colorful feathers to mimic fruits to avoid predators,1
Ecology,6260215,2,The gender of a toucan is hard to determine just by looking at them,0
Ecology,6260215,2,The structure of a toucan?s bill looks like a honeycomb,1
Ecology,6260215,2,A toucan?s bill is composed of the protein keratin,1
Ecology,6260215,2,A toucan?s bill has the consistency of a hard sponge,1
Ecology,6260215,2,A toucan?s bill offers two main advantages: foraging and communication,1
Ecology,6260215,2,Toucan?s take advantage of their large bill by intimidating smaller birds,1
Ecology,6260215,2,Toucan?s can reach into deeper places to get food because of their bill,1
Ecology,6260215,2,Toucans cannot eat during their digestion period,1
Ecology,6260215,2,"To try and find mates, toucans use their bills to toss berries to one another",1
Ecology,6260215,2,Toucans manage their body temperature with their bill,1
Ecology,6260215,2,"Toucans mostly eat fruit, but occasionally they eat lizards and insects",0
Ecology,6260215,3,Deforestation and exportation of toucans caused their population to decrease,1
Ecology,6260215,3,"Tocos, Red-billed, Swainson?s, and Keel-billed toucans were commonly exported to the US",0
Ecology,6260215,3,"In the -?s, exotic animals were common pets in the US",1
Ecology,6260215,3,A toucan?s diet of fresh fruit made owning one expensive,1
Ecology,6260215,3,"To keep toucans entertained, they needed toys",1
Ecology,6260215,3,"Toucans need a large space to thrive, unlike parrots",1
Ecology,6260215,3,"Owning a toucan demanded time, space, and money",1
Ecology,6260215,3,Aviculture is the breeding and rearing of birds,0
Ecology,6260215,3,"Toucan?s now cost up to $, due to supply and demand",1
Ecology,6260215,3,"Due to the decline in toucan population, the Defenders of Wildlife became dedicated to helping toucan?s",0
Ecology,6260215,3,More than million exotic birds were exported to the US between -,1
Ecology,6260215,3,The WBCA restricted the imports of endangered bird species,1
Ecology,6260215,3,The United States was the world?s biggest buyer of exotic birds,0
Ecology,6260215,3,The high cost and limited offspring of toucan?s made them difficult to obtain,0
Ecology,6260215,4,Toucans require a low iron diet to avoid hemochromatosis,0
Ecology,6260215,4,Hemochromatosis is the leading cause of death for toucans in captivity,1
Ecology,6260215,4,"Hemochromatosis does not affect parrots, finches, and canaries",0
Ecology,6260215,4,Hemochromatosis causes excess fluid to build up and makes it hard for a toucan to breathe,1
Ecology,6260215,4,Common symptoms of hemochromatosis include open-mouthed breathing and a swollen abdomen,1
Ecology,6260215,4,A vet can take a liver biopsy to check for hemochromatosis if a bird is healthy enough,1
Ecology,6260215,4,Golden brown deposits of iron in liver cells confirms a diagnosis of hemochromatosis,0
Ecology,6260215,4,An enlarged liver does not confirm whether hemochromatosis is present,0
Ecology,6260215,4,"Enlargement of the heart can occur in hemochromatosis, but doctors do not know why",1
Ecology,6260215,4,Hemochromatosis enlarges a toucan?s liver and is life threatening,1
Ecology,6260215,4,"A phlebotomy is one way to treat hemochromatosis in birds, it decreases iron content",1
Ecology,6260215,4,A phlebotomy is the practice of drawing blood,1
Ecology,6260215,4,Cheap dog food can be fed to toucans because of their low iron content,1
Ecology,6260215,4,Toucans require a low iron vegetarian diet to decrease the chance of getting hemochromatosis,1
Physics,6260218,1,Einstein discovered quantum theory,0
Physics,6260218,1,Einstein discovered stimulated emission,0
Physics,6260218,1,Quantum theory and stimulated emission are foundations of laser science,0
Physics,6260218,1,Lasers were developed from masers,0
Physics,6260218,1,Masers produce microwaves and radio waves,0
Physics,6260218,1,"Masers were invented by Charles Townes and Arthur Schawlow, who received the Nobel Prize",1
Physics,6260218,1,Gordon Gould's main achievement is the invention of laser,1
Physics,6260218,1,"After two decades of legal battles, Gordon Gould secured a patent for the laser invention",0
Physics,6260218,1,Laser came from combining the words light and maser,0
Physics,6260218,1,Early inventors were uncertain of the use of lasers,0
Physics,6260218,1,"Lasers are now used everywhere, such as for DVD or Blu-ray players, surgeries (e.g, LASIK), barcode scanners, emails, etc",0
Physics,6260218,1,If the flashlight is like ripples in a bathtub and the laser is like huge waves on the sea,1
Physics,6260218,1,White light is a mixture of lights of all different colors,0
Physics,6260218,1,A laser makes a monochromatic light,0
Physics,6260218,1,"A monochromatic light has specific colors (e.g., , red, green, ultraviolet)",0
Physics,6260218,1,A light is coherent when the peaks and troughs of the light waves line up precisely,0
